City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
593,Magdiwang,PH,80.53,light rain,12.491,122.5135,Sanctuary Garden Resort
595,Sanmenxia,CN,76.44,clear sky,34.7747,111.1814,Pengzhou Hotel
598,Thinadhoo,MV,84.7,scattered clouds,0.5333,72.9333,
604,Tautira,PF,80.55,light rain,-17.7333,-149.15,Pension Oaoa
606,Wattegama,LK,76.23,broken clouds,6.7989,81.4808,
611,Coruripe,BR,85.68,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
612,Kimbe,PG,76.19,few clouds,-5.5502,150.1429,Kimbe Bay Hotel
616,Cozumel,MX,79.95,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
627,Ishigaki,JP,75.11,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
629,Cap Malheureux,MU,76.46,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
632,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
634,Bambari,CF,88.38,overcast clouds,5.768,20.6757,Hotel-Restaurant BIBICH
635,Srivardhan,IN,82.11,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
636,Maicao,CO,84.97,overcast clouds,11.3832,-72.2432,Hotel Sancho
640,Sao Joao Da Barra,BR,82.49,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
642,Port-Gentil,GA,80.56,overcast clouds,-0.7193,8.7815,Fengshui Residence
644,Townsville,AU,79.68,broken clouds,-19.25,146.8,Rydges Southbank Townsville
645,Do Gonbadan,IR,76.87,clear sky,30.3586,50.7981,شبکه بهداشت و درمان گچساران
649,Hobyo,SO,84.09,clear sky,5.3505,48.5268,Iftin hotel hobyo
657,Tevaitoa,PF,82.18,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
658,Pagudpud,PH,78.03,broken clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
659,Mossendjo,CG,86.14,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
663,Buchanan,LR,85.96,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
665,El Alto,PE,75.83,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
680,Teknaf,BD,79.74,clear sky,20.8624,92.3058,Forestry Guesthouse
